datetime,market_price,temp,humidity,wind_speed,cloud_coverage,irradiance,direct_radiation,dni
2026-03-10 11:00:00,30.45,22.9,79,17.7,100,153.0,0.0,0.0
2026-03-10 11:15:00,30.45,22.2,79,17.0,100,78.0,0.0,0.0
2026-03-10 11:30:00,30.45,22.0,87,10.8,100,28.0,0.0,0.0
2026-03-10 11:45:00,30.45,22.3,88,9.2,100,50.0,0.0,0.0
2026-03-10 12:00:00,32.02,22.5,88,12.2,100,103.0,0.0,0.0
2026-03-10 12:15:00,32.02,23.6,87,14.8,100,500.0,4.0,5.4
2026-03-10 12:30:00,32.02,23.5,83,12.2,100,261.0,0.0,0.0
2026-03-10 12:45:00,32.02,24.0,82,12.1,100,332.0,0.0,0.0
2026-03-10 13:00:00,37.35,24.8,81,14.2,100,565.0,22.0,28.0
2026-03-10 13:15:00,37.35,25.6,78,16.0,100,669.0,88.0,110.7
2026-03-10 13:30:00,37.35,23.3,88,17.7,100,140.0,-2.0,0.0
2026-03-10 13:45:00,37.35,23.7,86,19.8,100,320.0,-4.0,0.0
2026-03-10 14:00:00,45.57,24.6,85,19.1,100,510.0,57.0,71.2
2026-03-10 14:15:00,45.57,24.1,83,22.1,92,540.0,11.0,13.8
2026-03-10 14:30:00,45.57,24.9,80,22.3,80,650.0,183.0,232.9
2026-03-10 14:45:00,45.57,25.7,78,23.9,67,720.0,304.0,393.1
2026-03-10 15:00:00,36.74,25.2,82,23.2,100,260.0,27.0,35.6
2026-03-10 15:15:00,36.74,25.4,82,21.6,100,510.0,27.0,36.6
2026-03-10 15:30:00,36.74,25.3,81,19.2,97,401.0,2.0,2.8
2026-03-10 15:45:00,36.74,25.2,82,20.4,98,343.0,15.0,21.8
2026-03-10 16:00:00,32.23,24.9,83,19.2,98,228.0,0.0,0.0
2026-03-10 16:15:00,32.23,25.3,82,18.4,83,302.0,51.0,81.1
2026-03-10 16:30:00,32.23,24.2,84,18.9,86,95.0,0.0,0.0
2026-03-10 16:45:00,32.23,23.8,84,17.4,78,40.0,0.0,0.0
2026-03-10 17:00:00,39.28,24.5,83,17.2,72,164.0,0.0,0.0
2026-03-10 17:15:00,39.28,25.3,82,16.7,70,406.0,177.0,373.5
2026-03-10 17:30:00,39.28,25.5,73,18.5,54,327.0,140.0,326.1
2026-03-10 17:45:00,39.28,25.7,72,18.8,34,335.0,210.0,548.7
2026-03-10 18:00:00,35.5,25.7,72,18.3,20,285.0,197.0,589.2
2026-03-10 18:15:00,35.5,25.6,72,18.1,31,219.0,132.0,464.2
2026-03-10 18:30:00,35.5,25.5,70,19.2,62,165.0,55.0,236.0
2026-03-10 18:45:00,35.5,25.1,71,19.5,85,119.0,60.0,332.4
2026-03-10 19:00:00,32.82,24.6,72,20.0,100,79.0,40.0,314.7
2026-03-10 19:15:00,32.82,24.2,73,19.9,100,37.0,14.0,162.0
2026-03-10 19:30:00,32.82,23.8,76,19.7,18,7.0,7.0,118.2
2026-03-10 19:45:00,32.82,23.4,75,17.6,7,0.0,0.0,0.0
2026-03-10 20:30:00,63.66,23.5,77,13.6,45,0.0,0.0,0.0
2026-03-11 12:15:00,39.43,21.4,74,3.0,61,742.0,436.0,587.3
2026-03-11 12:30:00,39.43,21.4,77,7.1,31,787.0,657.0,862.6
2026-03-11 12:45:00,39.43,21.8,76,7.2,13,810.0,690.0,887.4
2026-03-11 13:00:00,41.0,22.0,76,12.8,1,830.0,714.0,903.8
2026-03-11 13:15:00,22.62,22.3,74,13.8,8,840.0,720.0,901.2
2026-03-11 13:30:00,22.62,22.7,69,10.0,8,850.0,728.0,905.2
2026-03-11 13:45:00,22.62,23.0,67,12.2,11,850.0,729.0,904.5
2026-03-11 14:00:00,42.21,23.1,65,15.3,13,850.0,727.0,904.1
2026-03-11 14:15:00,42.21,23.0,63,10.3,20,640.0,389.0,487.0
2026-03-11 14:30:00,42.21,23.3,62,11.8,29,810.0,596.0,754.7
2026-03-11 14:45:00,42.21,23.3,60,14.8,13,710.0,577.0,742.4
2026-03-11 15:00:00,41.69,23.3,61,17.7,7,710.0,580.0,761.9
2026-03-11 15:15:00,41.69,23.5,60,19.1,16,720.0,596.0,803.4
2026-03-11 15:30:00,41.69,22.5,51,28.4,42,450.0,180.0,250.3
2026-03-11 15:45:00,41.69,22.1,54,27.4,54,572.0,54.0,77.9
2026-03-11 16:00:00,36.64,22.1,56,28.9,62,658.0,406.0,611.3
2026-03-11 16:15:00,36.64,21.9,54,30.1,72,608.0,319.0,504.7
2026-03-11 16:30:00,36.64,21.5,52,27.7,53,332.0,100.0,167.4
2026-03-11 16:45:00,36.64,21.3,49,27.2,66,267.0,-1.0,0.0
2026-03-11 17:00:00,34.14,21.3,48,26.9,74,351.0,76.0,146.3
2026-03-11 17:15:00,34.14,21.3,46,27.7,62,419.0,136.0,285.1
2026-03-11 17:30:00,34.14,20.4,44,27.1,67,282.0,135.0,312.2
2026-03-11 17:45:00,34.14,20.2,44,26.0,72,288.0,119.0,308.5
2026-03-11 18:00:00,47.91,19.8,45,26.0,75,182.0,26.0,77.1
2026-03-11 18:15:00,47.91,19.8,44,24.5,61,161.0,52.0,181.0
2026-03-11 18:30:00,47.91,19.9,41,24.5,0,192.0,123.0,521.3
2026-03-11 18:45:00,47.91,19.5,40,21.3,0,138.0,78.0,425.3
2026-03-11 19:00:00,44.05,19.1,40,20.3,0,87.0,41.0,315.6
