market_price,grid_demand,temp,humidity,wind_speed,cloud_coverage,irradiance,direct_radiation,dni,energy_output,price_lag_1h,price_lag_2h,price_lag_3h,price_lag_24h,price_lag_168h,demand_lag_1h,demand_lag_24h,price_rolling_6h,price_rolling_24h,demand_rolling_6h,price_diff_1h,price_diff_24h,hour,day_of_week,is_weekend,is_peak_hour
15.34,46821.38,11.4,64,13.1,0,300.0,233.0,700.8,138.91,15.0,18.46,25.12,4.82,11.47,46226.92,47263.45,19.506666666666668,18.27208333333333,44341.915,0.33999999999999986,10.52,10,5,1,0
15.65,47306.74,12.8,56,13.4,0,440.0,358.0,784.1,154.87,15.34,15.0,18.46,5.12,11.3,46821.38,47887.46,18.74,18.710833333333333,45289.431666666664,0.3100000000000005,10.530000000000001,11,5,1,0
15.82,47823.97,14.9,50,12.1,0,538.0,456.0,851.8,153.48,15.65,15.34,15.0,5.97,10.51,47306.74,48882.58,17.565,19.12125,46167.54833333334,0.16999999999999993,9.850000000000001,12,5,1,0
16.54,48207.38,16.4,44,11.7,0,573.0,489.0,868.1,146.14,15.82,15.65,15.34,10.03,11.41,47823.97,49931.54,16.135,19.3925,46916.918333333335,0.7199999999999989,6.51,13,5,1,0
15.66,48498.41,17.1,40,12.0,0,544.0,461.0,855.8,148.69,16.54,15.82,15.65,10.19,11.37,48207.38,50979.74,15.668333333333335,19.620416666666667,47480.799999999996,-0.879999999999999,5.470000000000001,14,5,1,1
14.65,48893.72,17.2,40,11.9,0,455.0,378.0,816.3,147.35,15.66,16.54,15.82,9.03,11.73,48498.41,51964.14,15.61,19.854583333333334,47925.26666666666,-1.0099999999999998,5.620000000000001,15,5,1,1
24.44,49133.49,16.8,40,12.5,0,315.0,249.0,728.8,139.79,14.65,15.66,16.54,20.0,18.37,48893.72,52538.74,17.126666666666665,20.039583333333333,48310.618333333325,9.790000000000001,4.440000000000001,16,5,1,1
49.88,49547.33,15.9,42,11.3,5,144.0,99.0,541.8,123.3,24.44,14.65,15.66,41.79,26.16,49133.49,52167.5,22.831666666666667,20.376666666666665,48684.049999999996,25.44,8.090000000000003,17,5,1,1
44.76,50016.19,15.1,43,9.8,0,13.0,6.0,72.3,94.11,49.88,24.44,14.65,31.16,23.19,49547.33,52163.16,27.655,20.943333333333335,49049.420000000006,-5.1200000000000045,13.599999999999998,18,5,1,1
40.2,49007.99,14.4,45,9.8,0,0.0,0.0,0.0,91.82,44.76,49.88,24.44,24.05,21.79,50016.19,50894.59,31.598333333333333,21.616249999999997,49182.855,-4.559999999999995,16.150000000000002,19,5,1,1
32.94,47628.16,13.7,47,9.2,0,0.0,0.0,0.0,81.17,40.2,44.76,49.88,22.06,19.5,49007.99,49899.63,34.47833333333333,22.06958333333333,49037.81333333333,-7.260000000000005,10.879999999999999,20,5,1,1
27.86,47327.94,12.9,49,9.2,0,0.0,0.0,0.0,79.17,32.94,40.2,44.76,20.08,18.0,47628.16,48798.81,36.68,22.39375,48776.85,-5.079999999999998,7.780000000000001,21,5,1,0
26.45,46381.14,12.1,51,8.8,0,0.0,0.0,0.0,76.98,27.86,32.94,40.2,20.66,19.84,47327.94,47306.44,37.015,22.634999999999994,48318.125,-1.4100000000000001,5.789999999999999,22,5,1,0
25.51,44851.48,11.3,51,7.8,0,0.0,0.0,0.0,67.92,26.45,27.86,32.94,19.32,18.17,46381.14,45631.1,32.953333333333326,22.892916666666668,47535.48333333334,-0.9399999999999977,6.190000000000001,23,5,1,0
22.23,43561.92,9.8,54,5.5,9,0.0,0.0,0.0,39.34,25.51,26.45,27.86,15.77,15.98,44851.48,44049.28,29.198333333333334,23.16208333333333,46459.77166666667,-3.280000000000001,6.460000000000001,0,6,1,0
21.18,42695.53,8.8,58,4.3,2,0.0,0.0,0.0,23.01,22.23,25.51,26.45,15.85,12.85,43561.92,42863.91,26.028333333333336,23.38416666666667,45407.695,-1.0500000000000007,5.33,1,6,1,0
19.99,42367.59,7.8,64,3.0,0,0.0,0.0,0.0,16.11,21.18,22.23,25.51,16.18,11.17,42695.53,42010.11,23.87,23.54291666666667,44530.93333333333,-1.1900000000000013,3.8099999999999987,2,6,1,0
20.81,42373.12,7.3,67,0.9,28,0.0,0.0,0.0,3.72,19.99,21.18,22.23,17.58,11.14,42367.59,41431.84,22.694999999999997,23.6775,43705.13,0.8200000000000003,3.2300000000000004,3,6,1,0
20.68,42578.67,6.8,69,0.9,84,0.0,0.0,0.0,0.0,20.81,19.99,21.18,16.65,12.48,42373.12,41298.5,21.733333333333334,23.84541666666667,43071.385,-0.129999999999999,4.030000000000001,4,6,1,0
21.12,43249.25,6.6,71,4.8,100,0.0,0.0,0.0,32.01,20.68,20.81,19.99,20.25,14.6,42578.67,41621.64,21.001666666666665,23.88166666666667,42804.346666666665,0.4400000000000013,0.870000000000001,5,6,1,0
19.77,44509.54,5.1,75,5.2,100,0.0,0.0,0.0,35.75,21.12,20.68,20.81,22.87,13.52,43249.25,42555.27,20.591666666666665,23.7525,42962.28333333333,-1.3500000000000014,-3.1000000000000014,6,6,1,0
19.85,45927.68,4.6,80,1.6,99,0.0,0.0,0.0,2.64,19.77,21.12,20.68,25.12,14.25,44509.54,43711.16,20.37,23.53291666666667,43500.975,0.08000000000000185,-5.27,7,6,1,0
16.07,46971.24,4.9,79,4.2,100,8.0,1.0,13.0,27.3,19.85,19.77,21.12,18.46,14.88,45927.68,45115.12,19.716666666666665,23.433333333333334,44268.25,-3.780000000000001,-2.3900000000000006,8,6,1,0
7.54,47580.62,6.3,75,4.1,100,106.0,35.0,204.2,31.89,16.07,19.85,19.77,15.0,13.79,46971.24,46226.92,17.505,23.1225,45136.166666666664,-8.530000000000001,-7.46,9,6,1,0
7.44,47005.12,8.4,65,5.0,96,239.0,90.0,270.5,48.74,7.54,16.07,19.85,15.34,12.47,47580.62,46821.38,15.298333333333332,22.793333333333333,45873.90833333333,-0.09999999999999964,-7.8999999999999995,10,6,1,0
3.39,46616.43,11.1,55,5.5,96,423.0,299.0,653.9,63.01,7.44,7.54,16.07,15.65,12.27,47005.12,47306.74,12.343333333333332,22.2825,46435.105,-4.050000000000001,-12.26,11,6,1,0
1.86,46669.01,13.9,53,6.6,100,515.0,378.0,704.7,72.48,3.39,7.44,7.54,15.82,11.68,46616.43,47823.97,9.358333333333333,21.700833333333335,46795.01666666666,-1.53,-13.96,12,6,1,0
1.15,46812.14,15.8,46,6.6,98,558.0,434.0,768.4,75.95,1.86,3.39,7.44,16.54,11.89,46669.01,48207.38,6.241666666666666,21.059583333333332,46942.426666666666,-0.7100000000000002,-15.389999999999999,13,6,1,0
1.0,47109.09,16.8,42,7.7,100,473.0,281.0,519.8,89.3,1.15,1.86,3.39,15.66,13.6,46812.14,48498.41,3.73,20.44875,46965.40166666667,-0.1499999999999999,-14.66,14,6,1,1
0.44,47451.59,16.8,43,9.9,100,250.0,36.0,77.4,107.49,1.0,1.15,1.86,14.65,13.18,47109.09,48893.72,2.546666666666667,19.856666666666666,46943.89666666667,-0.56,-14.21,15,6,1,1
10.16,48162.2,17.0,43,9.8,100,178.0,18.0,52.3,102.48,0.44,1.0,1.15,24.44,19.32,47451.59,49133.49,3.0,19.261666666666667,47136.743333333325,9.72,-14.280000000000001,16,6,1,1
22.98,49286.0,16.8,46,8.6,100,85.0,6.0,32.4,91.47,10.16,0.44,1.0,49.88,23.4,48162.2,49547.33,6.265000000000001,18.140833333333333,47581.67166666667,12.82,-26.900000000000002,17,6,1,1
23.29,50369.01,15.7,52,9.6,100,10.0,1.0,11.9,91.45,22.98,10.16,0.44,44.76,22.74,49286.0,50016.19,9.836666666666666,17.24625,48198.338333333326,0.3099999999999987,-21.47,18,6,1,1
21.51,50109.76,15.1,57,12.5,100,0.0,0.0,0.0,128.11,23.29,22.98,10.16,40.2,20.81,50369.01,49007.99,13.229999999999999,16.467499999999998,48747.94166666666,-1.7799999999999976,-18.69,19,6,1,1
19.61,49545.77,14.4,61,12.0,100,0.0,0.0,0.0,127.57,21.51,23.29,22.98,32.94,18.24,50109.76,47628.16,16.331666666666667,15.912083333333333,49154.055,-1.9000000000000021,-13.329999999999998,20,6,1,1
17.96,48493.53,14.1,63,12.9,87,0.0,0.0,0.0,126.66,19.61,21.51,23.29,27.86,17.46,49545.77,47327.94,19.25166666666667,15.499583333333334,49327.71166666666,-1.6499999999999986,-9.899999999999999,21,6,1,0
19.39,46958.01,13.8,65,13.5,91,0.0,0.0,0.0,123.76,17.96,19.61,21.51,26.45,19.16,48493.53,46381.14,20.79,15.205416666666666,49127.013333333336,1.4299999999999997,-7.059999999999999,22,6,1,0
17.55,45190.34,13.4,67,13.8,20,0.0,0.0,0.0,126.98,19.39,17.96,19.61,25.51,16.79,46958.01,44851.48,19.885,14.873750000000001,48444.40333333333,-1.8399999999999999,-7.960000000000001,23,6,1,0
13.28,43845.36,11.9,73,12.8,71,0.0,0.0,0.0,122.39,17.55,19.39,17.96,22.23,18.4,45190.34,43561.92,18.216666666666665,14.500833333333333,47357.128333333334,-4.270000000000001,-8.950000000000001,0,0,0,0
13.08,43110.04,11.6,75,12.6,88,0.0,0.0,0.0,124.0,13.28,17.55,19.39,21.18,19.46,43845.36,42695.53,16.811666666666664,14.163333333333332,46190.50833333333,-0.1999999999999993,-8.1,1,0,0,0
12.46,42597.87,11.6,75,13.5,73,0.0,0.0,0.0,123.25,13.08,13.28,17.55,19.99,18.92,43110.04,42367.59,15.62,13.849583333333335,45032.525,-0.6199999999999992,-7.529999999999998,2,0,0,0
15.26,42597.13,11.6,75,13.0,32,0.0,0.0,0.0,124.95,12.46,13.08,13.28,20.81,20.05,42597.87,42373.12,15.17,13.618333333333334,44049.791666666664,2.799999999999999,-5.549999999999999,3,0,0,0
16.22,43581.92,11.4,75,11.9,16,0.0,0.0,0.0,130.1,15.26,12.46,13.08,20.68,20.94,42597.13,42578.67,14.641666666666666,13.4325,43487.10999999999,0.9599999999999991,-4.460000000000001,4,0,0,0
19.39,45370.18,11.1,77,11.3,0,0.0,0.0,0.0,108.35,16.22,15.26,12.46,21.12,23.86,43581.92,43249.25,14.948333333333332,13.360416666666667,43517.083333333336,3.1700000000000017,-1.7300000000000004,5,0,0,0
23.64,47878.3,10.9,83,11.1,1,0.0,0.0,0.0,113.0,19.39,16.22,15.26,19.77,25.53,45370.18,44509.54,16.675,13.521666666666668,44189.24,4.25,3.870000000000001,6,0,0,0
24.33,49529.63,10.8,88,12.1,0,0.0,0.0,0.0,119.87,23.64,19.39,16.22,19.85,30.96,47878.3,45927.68,18.55,13.708333333333334,45259.17166666666,0.6899999999999977,4.479999999999997,7,0,0,0
22.99,49924.55,11.1,91,13.0,0,9.0,3.0,39.1,123.74,24.33,23.64,19.39,16.07,27.47,49529.63,46971.24,20.305,13.996666666666668,46480.285,-1.3399999999999999,6.919999999999998,8,0,0,0
18.23,50261.83,12.9,83,12.5,9,126.0,81.0,472.6,134.27,22.99,24.33,23.64,7.54,21.81,49924.55,47580.62,20.8,14.442083333333334,47757.73499999999,-4.759999999999998,10.690000000000001,9,0,0,0
14.24,50520.44,15.4,78,18.3,97,283.0,201.0,603.4,139.05,18.23,22.99,24.33,7.44,18.91,50261.83,47005.12,20.470000000000002,14.725416666666666,48914.155,-3.99,6.8,10,0,0,0
12.48,50551.07,16.2,80,21.5,100,320.0,154.0,336.2,137.47,14.24,18.23,22.99,3.39,17.45,50520.44,46616.43,19.318333333333335,15.104166666666666,49777.636666666665,-1.7599999999999998,9.09,11,0,0,0
9.99,50583.71,16.9,81,19.9,100,310.0,89.0,165.5,138.06,12.48,14.24,18.23,1.86,16.52,50551.07,46669.01,17.043333333333333,15.442916666666667,50228.53833333333,-2.49,8.13,12,0,0,0
9.4,50797.86,18.7,72,19.5,93,269.0,26.0,45.9,140.2,9.99,12.48,14.24,1.15,18.98,50583.71,46812.14,14.555000000000001,15.786666666666667,50439.91,-0.5899999999999999,8.25,13,0,0,0
8.24,51261.84,20.4,64,17.9,16,411.0,252.0,464.5,143.07,9.4,9.99,12.48,1.0,22.18,50797.86,47109.09,12.096666666666666,16.088333333333335,50662.791666666664,-1.1600000000000001,7.24,14,0,0,1
6.9,51611.27,21.0,62,17.5,45,412.0,299.0,639.5,145.96,8.24,9.4,9.99,0.44,26.18,51261.84,47451.59,10.208333333333334,16.3575,50887.698333333334,-1.3399999999999999,6.46,15,0,0,1
17.48,51932.75,21.3,60,17.3,36,313.0,247.0,712.8,140.49,6.9,8.24,9.4,10.16,34.3,51611.27,48162.2,10.748333333333335,16.662499999999998,51123.083333333336,10.58,7.32,16,0,0,1
31.21,52430.58,20.5,64,14.6,100,144.0,98.0,521.8,129.95,17.48,6.9,8.24,22.98,47.59,51932.75,49286.0,13.87,17.005416666666665,51436.335,13.73,8.23,17,0,0,1
25.84,53362.0,18.9,71,12.8,100,14.0,6.0,70.1,131.84,31.21,17.48,6.9,23.29,58.85,52430.58,50369.01,16.511666666666667,17.111666666666668,51899.38333333333,-5.370000000000001,2.5500000000000007,18,0,0,1
22.41,52691.3,18.5,72,13.3,100,0.0,0.0,0.0,126.61,25.84,31.21,17.48,21.51,69.46,53362.0,50109.76,18.680000000000003,17.14916666666667,52214.956666666665,-3.4299999999999997,0.8999999999999986,19,0,0,1
21.42,51647.3,18.3,75,14.7,100,0.0,0.0,0.0,118.63,22.41,25.84,31.21,19.61,68.09,52691.3,49545.77,20.876666666666665,17.22458333333333,52279.200000000004,-0.9899999999999984,1.8100000000000023,20,0,0,1
17.74,50181.96,18.5,76,15.5,100,0.0,0.0,0.0,125.27,21.42,22.41,25.84,17.96,61.18,51647.3,48493.53,22.683333333333334,17.215416666666666,52040.98166666667,-3.6800000000000033,-0.22000000000000242,21,0,0,0
17.62,47978.85,18.6,76,15.5,100,0.0,0.0,0.0,122.72,17.74,21.42,22.41,19.39,51.38,50181.96,46958.01,22.706666666666667,17.141666666666666,51381.99833333333,-0.11999999999999744,-1.7699999999999996,22,0,0,0
16.44,45740.92,18.6,77,15.5,99,0.0,0.0,0.0,127.26,17.62,17.74,21.42,17.55,45.62,47978.85,45190.34,20.245,17.095416666666665,50267.055,-1.1799999999999997,-1.1099999999999994,23,0,0,0
15.65,44005.54,18.1,80,16.1,34,0.0,0.0,0.0,122.33,16.44,17.62,17.74,13.28,48.76,45740.92,43845.36,18.546666666666667,17.194166666666668,48707.645,-0.7900000000000009,2.370000000000001,0,1,0,0
15.27,42935.13,17.6,82,15.7,39,0.0,0.0,0.0,124.36,15.65,16.44,17.62,13.08,47.19,44005.54,43110.04,17.35666666666667,17.285416666666666,47081.61666666667,-0.3800000000000008,2.1899999999999995,1,1,0,0
14.71,42241.83,17.1,84,15.1,98,0.0,0.0,0.0,126.22,15.27,15.65,16.44,12.46,50.0,42935.13,42597.87,16.238333333333333,17.379166666666666,45514.03833333333,-0.5599999999999987,2.25,2,1,0,0
13.94,41833.39,17.4,82,14.3,93,0.0,0.0,0.0,127.3,14.71,15.27,15.65,15.26,50.0,42241.83,42597.13,15.604999999999999,17.324166666666667,44122.61000000001,-0.7700000000000014,-1.3200000000000003,3,1,0,0
14.0,42508.1,17.0,82,13.2,12,0.0,0.0,0.0,121.11,13.94,14.71,15.27,16.22,48.97,41833.39,43581.92,15.001666666666665,17.231666666666666,43210.818333333336,0.0600000000000005,-2.219999999999999,4,1,0,0
17.32,44060.7,16.2,82,11.4,27,0.0,0.0,0.0,114.47,14.0,13.94,14.71,19.39,72.0,42508.1,45370.18,15.148333333333333,17.145416666666666,42930.78166666666,3.3200000000000003,-2.0700000000000003,5,1,0,0
23.47,46866.91,16.5,81,11.1,100,0.0,0.0,0.0,109.52,17.32,14.0,13.94,23.64,80.0,44060.7,47878.3,16.451666666666668,17.138333333333332,43407.676666666666,6.149999999999999,-0.1700000000000017,6,1,0,0
26.36,48191.11,16.3,70,10.9,100,0.0,0.0,0.0,106.0,23.47,17.32,14.0,24.33,84.57,46866.91,49529.63,18.3,17.222916666666666,44283.67333333333,2.8900000000000006,2.030000000000001,7,1,0,0
20.79,48548.01,15.7,59,11.5,90,8.0,2.0,26.1,122.69,26.36,23.47,17.32,22.99,40.89,48191.11,49924.55,19.313333333333333,17.131249999999998,45334.70333333333,-5.57,-2.1999999999999993,8,1,0,0
17.75,49052.08,17.0,43,11.6,91,129.0,77.0,449.0,126.19,20.79,26.36,23.47,18.23,25.01,48548.01,50261.83,19.948333333333334,17.11125,46537.818333333336,-3.039999999999999,-0.4800000000000004,9,1,0,0
18.61,49579.58,18.3,31,12.5,54,288.0,185.0,554.5,135.33,17.75,20.79,26.36,14.24,23.58,49052.08,50520.44,20.716666666666665,17.293333333333333,47716.39833333334,0.8599999999999994,4.369999999999999,10,1,0,0
18.68,50252.71,19.6,25,13.2,63,459.0,368.0,801.9,150.41,18.61,17.75,20.79,12.48,19.79,49579.58,50551.07,20.94333333333333,17.551666666666666,48748.4,0.07000000000000028,6.199999999999999,11,1,0,0
18.62,51089.15,21.5,20,11.0,22,554.0,448.0,831.3,143.52,18.68,18.61,17.75,9.99,16.75,50252.71,50583.71,20.135,17.91125,49452.10666666667,-0.05999999999999872,8.63,12,1,0,0
20.65,52092.93,22.9,19,10.2,3,605.0,519.0,913.5,131.08,18.62,18.68,18.61,9.4,14.4,51089.15,50797.86,19.183333333333334,18.38,50102.41,2.0299999999999976,11.249999999999998,13,1,0,0
20.06,53222.28,23.9,18,8.8,2,576.0,495.0,908.9,102.56,20.65,18.62,18.68,8.24,10.19,52092.93,51261.84,19.061666666666667,18.8725,50881.454999999994,-0.5899999999999999,11.819999999999999,14,1,0,1
18.7,53947.09,24.4,18,9.2,0,483.0,407.0,866.1,106.41,20.06,20.65,18.62,6.9,10.39,53222.28,51611.27,19.22,19.364166666666666,51697.29,-1.3599999999999994,11.799999999999999,15,1,0,1
27.94,54596.59,24.2,19,9.4,0,336.0,271.0,776.2,107.06,18.7,20.06,20.65,17.48,23.59,53947.09,51932.75,20.775000000000002,19.8,52533.458333333336,9.240000000000002,10.46,16,1,0,1
52.29,54423.69,23.1,21,7.1,0,158.0,112.0,587.9,62.53,27.94,18.7,20.06,31.21,42.08,54596.59,52430.58,26.376666666666665,20.67833333333333,53228.62166666667,24.349999999999998,21.08,17,1,0,1
47.0,54358.14,20.9,22,3.6,0,16.0,8.0,92.0,22.62,52.29,27.94,18.7,25.84,42.45,54423.69,53362.0,31.106666666666666,21.560000000000002,53773.45333333333,-5.289999999999999,21.16,18,1,0,1
46.24,53319.93,20.0,23,4.2,3,0.0,0.0,0.0,28.15,47.0,52.29,27.94,22.41,37.54,54358.14,52691.3,35.37166666666667,22.552916666666665,53977.95333333333,-0.759999999999998,23.830000000000002,19,1,0,1
40.0,51921.31,19.1,23,5.1,0,0.0,0.0,0.0,31.77,46.24,47.0,52.29,21.42,35.11,53319.93,51647.3,38.695,23.327083333333334,53761.125,-6.240000000000002,18.58,20,1,0,1
33.04,50355.22,18.4,25,5.7,2,0.0,0.0,0.0,40.65,40.0,46.24,47.0,17.74,30.56,51921.31,50181.96,41.085,23.964583333333334,53162.48,-6.960000000000001,15.3,21,1,0,0
27.49,48277.34,17.1,28,5.5,1,0.0,0.0,0.0,28.97,33.04,40.0,46.24,17.62,28.53,50355.22,47978.85,41.01,24.375833333333333,52109.27166666667,-5.550000000000001,9.869999999999997,22,1,0,0
21.81,46033.53,15.9,31,5.1,0,0.0,0.0,0.0,31.48,27.49,33.04,40.0,16.44,26.67,48277.34,45740.92,35.93,24.59958333333333,50710.91166666666,-5.68,5.369999999999997,23,1,0,0
21.99,44085.63,13.8,35,4.1,0,0.0,0.0,0.0,24.15,21.81,27.49,33.04,15.65,27.89,46033.53,44005.54,31.761666666666667,24.86375,48998.82666666666,0.17999999999999972,6.339999999999998,0,2,0,0
21.32,42948.7,12.4,39,4.6,95,0.0,0.0,0.0,25.85,21.99,21.81,27.49,15.27,28.42,44085.63,42935.13,27.60833333333333,25.11583333333333,47270.28833333333,-0.6699999999999982,6.050000000000001,1,2,0,0
20.12,42538.36,11.6,44,3.0,100,0.0,0.0,0.0,20.49,21.32,21.99,21.81,14.71,28.07,42948.7,42241.83,24.294999999999998,25.34125,45706.463333333326,-1.1999999999999993,5.41,2,2,0,0
19.22,42426.59,11.3,45,0.7,99,0.0,0.0,0.0,0.0,20.12,21.32,21.99,13.94,29.82,42538.36,41833.39,21.991666666666664,25.56125,44385.024999999994,-0.9000000000000021,5.279999999999999,3,2,0,0
19.32,43181.9,10.6,48,1.0,100,0.0,0.0,0.0,1.68,19.22,20.12,21.32,14.0,36.55,42426.59,42508.1,20.63,25.782916666666665,43535.784999999996,0.10000000000000142,5.32,4,2,0,0
20.74,45233.83,10.1,50,0.6,100,0.0,0.0,0.0,1.79,19.32,19.22,20.12,17.32,44.7,43181.9,44060.7,20.451666666666664,25.925416666666663,43402.50166666667,1.4199999999999982,3.419999999999998,5,2,0,0
25.0,48369.82,8.4,56,3.5,100,0.0,0.0,0.0,23.97,20.74,19.32,19.22,23.47,48.84,45233.83,46866.91,20.953333333333333,25.989166666666662,44116.53333333333,4.260000000000002,1.5300000000000011,6,2,0,0
26.28,50019.66,7.7,62,4.7,100,0.0,0.0,0.0,26.26,25.0,20.74,19.32,26.36,45.73,48369.82,48191.11,21.78,25.985833333333336,45295.02666666667,1.2800000000000011,-0.0799999999999983,7,2,0,0
16.64,49924.81,7.8,65,6.4,63,8.0,1.0,13.0,52.46,26.28,25.0,20.74,20.79,27.35,50019.66,48548.01,21.2,25.812916666666666,46526.10166666666,-9.64,-4.149999999999999,8,2,0,0
15.43,49616.73,9.6,58,7.1,37,128.0,74.0,431.0,63.19,16.64,26.28,25.0,17.75,22.61,49924.81,49052.08,20.56833333333333,25.71625,47724.458333333336,-1.2100000000000009,-2.3200000000000003,9,2,0,0
13.81,49565.1,12.9,45,4.5,44,306.0,232.0,694.2,40.99,15.43,16.64,26.28,18.61,21.44,49616.73,49579.58,19.650000000000002,25.51625,48788.325000000004,-1.6199999999999992,-4.799999999999999,10,2,0,0
12.92,49915.35,16.8,34,3.8,91,456.0,376.0,817.5,46.41,13.81,15.43,16.64,18.68,18.57,49565.1,50252.71,18.346666666666668,25.27625,49568.57833333333,-0.8900000000000006,-5.76,11,2,0,0
11.71,50908.85,21.7,26,7.7,100,546.0,449.0,830.9,92.0,12.92,13.81,15.43,18.62,17.05,49915.35,51089.15,16.131666666666668,24.988333333333333,49991.75,-1.209999999999999,-6.91,12,2,0,0
9.35,51911.14,24.5,22,9.2,100,561.0,428.0,750.9,109.96,11.71,12.92,13.81,20.65,14.37,50908.85,52092.93,13.31,24.517500000000002,50306.996666666666,-2.360000000000001,-11.299999999999999,13,2,0,0
9.31,52471.52,26.0,19,10.5,100,492.0,311.0,568.7,126.88,9.35,11.71,12.92,20.06,11.47,51911.14,53222.28,12.088333333333333,24.06958333333333,50731.448333333334,-0.03999999999999915,-10.749999999999998,14,2,0,1
11.47,52729.71,26.4,19,12.1,100,318.0,85.0,179.9,139.45,9.31,9.35,11.71,18.7,10.36,52471.52,53947.09,11.428333333333333,23.768333333333334,51250.27833333333,2.16,-7.229999999999999,15,2,0,1
19.82,52827.95,26.5,20,13.1,100,292.0,178.0,506.0,139.65,11.47,9.31,9.35,27.94,23.55,52729.71,54596.59,12.430000000000001,23.429999999999996,51794.08666666666,8.35,-8.120000000000001,16,2,0,1
31.79,53365.38,25.4,23,11.6,97,131.0,57.0,294.9,127.06,19.82,11.47,9.31,52.29,47.85,52827.95,54423.69,15.575000000000001,22.575833333333335,52369.09166666667,11.969999999999999,-20.5,17,2,0,1
27.25,54503.37,23.5,33,13.1,100,15.0,4.0,45.3,130.22,31.79,19.82,11.47,47.0,43.98,53365.38,54358.14,18.165000000000003,21.752916666666668,52968.17833333332,-4.539999999999999,-19.75,18,2,0,1
23.58,53811.81,22.2,53,16.5,100,0.0,0.0,0.0,120.99,27.25,31.79,19.82,46.24,33.55,54503.37,53319.93,20.536666666666665,20.80875,53284.956666666665,-3.6700000000000017,-22.660000000000004,19,2,0,1
21.95,53044.95,21.1,77,17.4,100,0.0,0.0,0.0,131.11,23.58,27.25,31.79,40.0,26.44,53811.81,51921.31,22.64333333333333,20.05666666666667,53380.52833333333,-1.629999999999999,-18.05,20,2,0,1
20.01,51801.35,21.0,78,16.9,100,0.0,0.0,0.0,118.85,21.95,23.58,27.25,33.04,22.4,53044.95,50355.22,24.066666666666666,19.513749999999998,53225.80166666666,-1.9399999999999977,-13.029999999999998,21,2,0,0
18.93,49563.32,20.9,78,17.5,100,0.0,0.0,0.0,124.25,20.01,21.95,23.58,27.49,24.03,51801.35,48277.34,23.918333333333333,19.157083333333333,52681.69666666666,-1.0800000000000018,-8.559999999999999,22,2,0,0
16.23,47162.49,20.9,77,18.7,100,0.0,0.0,0.0,126.47,18.93,20.01,21.95,21.81,22.67,49563.32,46033.53,21.325,18.924583333333334,51647.881666666675,-2.6999999999999993,-5.579999999999998,23,2,0,0
15.45,45181.48,20.4,80,17.8,100,0.0,0.0,0.0,125.55,16.23,18.93,20.01,21.99,20.77,47162.49,44085.63,19.358333333333334,18.652083333333334,50094.23333333333,-0.7800000000000011,-6.539999999999999,0,3,0,0
